      9.956770e-04,       6.123230e-03,       2.136792e-02
      1.019488e-03,       6.243489e-03,       2.159830e-02
      1.178837e-03,       6.548495e-03,       2.289502e-02
      1.243639e-03,       6.858267e-03,       2.464481e-02
      9.856300e-04,       6.043205e-03,       2.233416e-02
      1.015162e-03,       6.262598e-03,       2.351000e-02
      9.474991e-04,       6.030715e-03,       2.189775e-02
      1.003083e-03,       6.319284e-03,       2.284890e-02
      9.902680e-04,       6.245041e-03,       2.172617e-02
      1.030235e-03,       6.020305e-03,       2.232665e-02
      1.147026e-03,       6.363209e-03,       2.377189e-02
      9.890520e-04,       6.197754e-03,       2.202319e-02
